l_dm,p_MPa
0,30
4.59751e-05,40.7673
0.0001905,42.1114
0.000437283,42.8926
0.000788282,43.4437
0.00124486,43.8687
0.00180805,44.2137
0.00247871,44.5032
0.00325753,44.7519
0.00414513,44.9691
0.00514203,45.1612
0.0062487,45.3329
0.00746556,45.4875
0.00879299,45.6276
0.0102313,45.7551
0.0117809,45.8717
0.0134419,45.9785
0.0152147,46.0767
0.0170996,46.1671
0.0190966,46.2503
0.021206,46.3271
0.0234281,46.3979
0.0257629,46.4631
0.0282107,46.5232
0.0307716,46.5785
0.0334457,46.6293
0.0362331,46.6758
0.039134,46.7183
0.0421484,46.757
0.0452766,46.7921
0.0485184,46.8237
0.051874,46.852
0.0553436,46.8771
0.0589271,46.8992
0.0626246,46.9183
0.0664361,46.9347
0.0703617,46.9482
0.0744015,46.9592
0.0785553,46.9676
0.0828234,46.9734
0.0872056,46.9769
0.091702,46.9781
0.091702,46.9781
0.0963127,46.9769
0.101037,46.9735
0.105876,46.968
0.11083,46.9603
0.115897,46.9506
0.121078,46.9388
0.126374,46.925
0.131783,46.9094
0.137307,46.8918
0.142945,46.8723
0.148696,46.8511
0.154562,46.828
0.160541,46.8032
0.166634,46.7766
0.17284,46.7484
0.179161,46.7185
0.185595,46.687
0.192142,46.6539
0.198803,46.6192
0.205577,46.5829
0.212464,46.5451
0.219465,46.5058
0.226578,46.4651
0.233805,46.4228
0.241144,46.3792
0.248596,46.3341
0.256161,46.2877
0.263838,46.2399
0.271627,46.1907
0.279529,46.1403
0.287543,46.0885
0.295669,46.0354
0.303907,45.9811
0.312257,45.9256
0.320718,45.8688
0.329291,45.8108
0.337975,45.7517
0.346771,45.6913
0.355677,45.6299
0.364695,45.5673
0.373823,45.5035
0.383062,45.4387
0.392411,45.3728
0.40187,45.3059
0.41144,45.2379
0.421119,45.1689
0.430909,45.0988
0.440808,45.0278
0.450816,44.9558
0.460934,44.8828
0.471161,44.8089
0.481497,44.7341
0.491941,44.6583
0.502494,44.5817
0.513155,44.5042
0.523925,44.4258
0.534803,44.3465
0.545788,44.2664
0.556881,44.1855
0.568081,44.1038
0.579389,44.0213
0.590803,43.938
0.602325,43.854
0.613953,43.7692
0.625687,43.6837
0.637528,43.5974
0.649474,43.5105
0.661527,43.4228
0.673684,43.3345
0.685948,43.2455
0.698316,43.1559
0.710789,43.0656
0.723367,42.9747
0.736049,42.8832
0.748836,42.7911
0.761726,42.6984
0.774721,42.6052
0.787819,42.5114
0.80102,42.417
0.814324,42.3221
0.827732,42.2267
0.841242,42.1308
0.854854,42.0344
0.868568,41.9375
0.882385,41.8401
0.896303,41.7423
0.910322,41.644
0.924443,41.5453
0.938665,41.4462
0.952988,41.3467
0.967411,41.2467
0.981934,41.1464
0.996557,41.0457
1.01128,40.9446
1.0261,40.8432
1.04102,40.7415
1.05605,40.6394
1.07117,40.5369
1.08638,40.4342
1.1017,40.3312
1.11712,40.2279
1.13263,40.1243
1.14824,40.0204
1.16394,39.9163
1.17975,39.8119
1.19565,39.7073
1.21165,39.6024
1.22774,39.4973
1.24393,39.3921
1.26022,39.2866
1.2766,39.1809
1.29307,39.0751
1.30964,38.969
1.32631,38.8628
1.34307,38.7565
1.35993,38.65
1.37687,38.5434
1.39392,38.4366
1.41105,38.3297
1.42828,38.2227
1.4456,38.1156
1.46302,38.0084
1.48052,37.9012
1.49812,37.7938
1.51581,37.6864
1.5336,37.5789
1.55147,37.4713
1.56943,37.3637
1.58749,37.2561
1.60564,37.1484
1.62387,37.0407
1.6422,36.933
1.66062,36.8252
1.67912,36.7175
1.69772,36.6097
1.7164,36.502
1.73517,36.3943
1.75404,36.2866
1.77298,36.1789
1.79202,36.0713
1.81115,35.9637
1.83036,35.8561
1.84966,35.7486
1.86905,35.6412
1.88852,35.5338
1.90808,35.4265
1.92772,35.3193
1.94746,35.2121
1.96727,35.105
1.98718,34.9981
2.00716,34.8912
2.02724,34.7844
2.04739,34.6778
2.06763,34.5712
2.08796,34.4648
2.10837,34.3584
2.12886,34.2523
2.14944,34.1462
2.1701,34.0403
2.19084,33.9345
2.21166,33.8289
2.23257,33.7234
2.25356,33.6181
2.27463,33.5129
2.29578,33.4079
2.31701,33.303
2.33832,33.1984
2.35972,33.0939
2.38119,32.9895
2.40275,32.8854
2.42438,32.7814
2.4461,32.6777
2.46789,32.5741
2.48976,32.4707
2.51172,32.3675
2.53375,32.2646
2.55586,32.1618
2.57804,32.0592
2.60031,31.9569
2.62265,31.8547
2.64507,31.7528
2.66757,31.6511
2.69014,31.5496
2.71279,31.4484
2.73552,31.3474
2.75833,31.2466
2.78121,31.146
2.80416,31.0457
2.82719,30.9456
2.8503,30.8458
2.87348,30.7462
2.89674,30.6468
2.92007,30.5477
2.94347,30.4489
2.96695,30.3503
2.9905,30.2519
3.01413,30.1538
3.03783,30.056
3.0616,29.9584
3.08544,29.8611
3.10936,29.764
3.13335,29.6672
3.15741,29.5707
3.18155,29.4744
3.20575,29.3785
3.23003,29.2827
3.25438,29.1873
3.2788,29.0921
3.30329,28.9972
3.32785,28.9026
3.35248,28.8083
3.37718,28.7142
3.40195,28.6204
3.42679,28.5269
3.4517,28.4337
3.47668,28.3407
