t_ms,p_MPa
0,30
0.0172874,40.7673
0.0345748,42.1114
0.0518622,42.8926
0.0691496,43.4437
0.0864371,43.8687
0.103724,44.2137
0.121012,44.5032
0.138299,44.7519
0.155587,44.9691
0.172874,45.1612
0.190162,45.3329
0.207449,45.4875
0.224736,45.6276
0.242024,45.7551
0.259311,45.8717
0.276599,45.9785
0.293886,46.0767
0.311173,46.1671
0.328461,46.2503
0.345748,46.3271
0.363036,46.3979
0.380323,46.4631
0.39761,46.5232
0.414898,46.5785
0.432185,46.6293
0.449473,46.6758
0.46676,46.7183
0.484048,46.757
0.501335,46.7921
0.518622,46.8237
0.53591,46.852
0.553197,46.8771
0.570485,46.8992
0.587772,46.9183
0.605059,46.9347
0.622347,46.9482
0.639634,46.9592
0.656922,46.9676
0.674209,46.9734
0.691496,46.9769
0.708784,46.9781
0.708784,46.9781
0.726071,46.9769
0.743359,46.9735
0.760646,46.968
0.777934,46.9603
0.795221,46.9506
0.812508,46.9388
0.829796,46.925
0.847083,46.9094
0.864371,46.8918
0.881658,46.8723
0.898945,46.8511
0.916233,46.828
0.93352,46.8032
0.950808,46.7766
0.968095,46.7484
0.985382,46.7185
1.00267,46.687
1.01996,46.6539
1.03724,46.6192
1.05453,46.5829
1.07182,46.5451
1.08911,46.5058
1.10639,46.4651
1.12368,46.4228
1.14097,46.3792
1.15826,46.3341
1.17554,46.2877
1.19283,46.2399
1.21012,46.1907
1.22741,46.1403
1.24469,46.0885
1.26198,46.0354
1.27927,45.9811
1.29656,45.9256
1.31384,45.8688
1.33113,45.8108
1.34842,45.7517
1.36571,45.6913
1.38299,45.6299
1.40028,45.5673
1.41757,45.5035
1.43486,45.4387
1.45214,45.3728
1.46943,45.3059
1.48672,45.2379
1.504,45.1689
1.52129,45.0988
1.53858,45.0278
1.55587,44.9558
1.57315,44.8828
1.59044,44.8089
1.60773,44.7341
1.62502,44.6583
1.6423,44.5817
1.65959,44.5042
1.67688,44.4258
1.69417,44.3465
1.71145,44.2664
1.72874,44.1855
1.74603,44.1038
1.76332,44.0213
1.7806,43.938
1.79789,43.854
1.81518,43.7692
1.83247,43.6837
1.84975,43.5974
1.86704,43.5105
1.88433,43.4228
1.90162,43.3345
1.9189,43.2455
1.93619,43.1559
1.95348,43.0656
1.97076,42.9747
1.98805,42.8832
2.00534,42.7911
2.02263,42.6984
2.03991,42.6052
2.0572,42.5114
2.07449,42.417
2.09178,42.3221
2.10906,42.2267
2.12635,42.1308
2.14364,42.0344
2.16093,41.9375
2.17821,41.8401
2.1955,41.7423
2.21279,41.644
2.23008,41.5453
2.24736,41.4462
2.26465,41.3467
2.28194,41.2467
2.29923,41.1464
2.31651,41.0457
2.3338,40.9446
2.35109,40.8432
2.36838,40.7415
2.38566,40.6394
2.40295,40.5369
2.42024,40.4342
2.43752,40.3312
2.45481,40.2279
2.4721,40.1243
2.48939,40.0204
2.50667,39.9163
2.52396,39.8119
2.54125,39.7073
2.55854,39.6024
2.57582,39.4973
2.59311,39.3921
2.6104,39.2866
2.62769,39.1809
2.64497,39.0751
2.66226,38.969
2.67955,38.8628
2.69684,38.7565
2.71412,38.65
2.73141,38.5434
2.7487,38.4366
2.76599,38.3297
2.78327,38.2227
2.80056,38.1156
2.81785,38.0084
2.83514,37.9012
2.85242,37.7938
2.86971,37.6864
2.887,37.5789
2.90429,37.4713
2.92157,37.3637
2.93886,37.2561
2.95615,37.1484
2.97343,37.0407
2.99072,36.933
3.00801,36.8252
3.0253,36.7175
3.04258,36.6097
3.05987,36.502
3.07716,36.3943
3.09445,36.2866
3.11173,36.1789
3.12902,36.0713
3.14631,35.9637
3.1636,35.8561
3.18088,35.7486
3.19817,35.6412
3.21546,35.5338
3.23275,35.4265
3.25003,35.3193
3.26732,35.2121
3.28461,35.105
3.3019,34.9981
3.31918,34.8912
3.33647,34.7844
3.35376,34.6778
3.37105,34.5712
3.38833,34.4648
3.40562,34.3584
3.42291,34.2523
3.44019,34.1462
3.45748,34.0403
3.47477,33.9345
3.49206,33.8289
3.50934,33.7234
3.52663,33.6181
3.54392,33.5129
3.56121,33.4079
3.57849,33.303
3.59578,33.1984
3.61307,33.0939
3.63036,32.9895
3.64764,32.8854
3.66493,32.7814
3.68222,32.6777
3.69951,32.5741
3.71679,32.4707
3.73408,32.3675
3.75137,32.2646
3.76866,32.1618
3.78594,32.0592
3.80323,31.9569
3.82052,31.8547
3.83781,31.7528
3.85509,31.6511
3.87238,31.5496
3.88967,31.4484
3.90695,31.3474
3.92424,31.2466
3.94153,31.146
3.95882,31.0457
3.9761,30.9456
3.99339,30.8458
4.01068,30.7462
4.02797,30.6468
4.04525,30.5477
4.06254,30.4489
4.07983,30.3503
4.09712,30.2519
4.1144,30.1538
4.13169,30.056
4.14898,29.9584
4.16627,29.8611
4.18355,29.764
4.20084,29.6672
4.21813,29.5707
4.23542,29.4744
4.2527,29.3785
4.26999,29.2827
4.28728,29.1873
4.30457,29.0921
4.32185,28.9972
4.33914,28.9026
4.35643,28.8083
4.37372,28.7142
4.391,28.6204
4.40829,28.5269
4.42558,28.4337
4.44286,28.3407
4.46015,28.2481
4.47744,28.1557
4.49473,28.0636
4.51201,27.9718
4.5293,27.8803
4.54659,27.7891
4.56388,27.6981
4.58116,27.6075
4.59845,27.5171
4.61574,27.4271
4.63303,27.3373
4.65031,27.2478
4.6676,27.1586
4.68489,27.0697
4.70218,26.9811
4.71946,26.8928
4.73675,26.8048
4.75404,26.7171
4.77133,26.6296
4.78861,26.5425
4.8059,26.4557
4.82319,26.3691
4.84048,26.2829
4.85776,26.197
4.87505,26.1113
4.89234,26.0259
4.90962,25.9409
4.92691,25.8561
4.9442,25.7717
4.96149,25.6875
4.97877,25.6036
4.99606,25.5201
5.01335,25.4368
5.03064,25.3538
5.04792,25.2711
5.06521,25.1887
5.0825,25.1066
5.09979,25.0248
5.11707,24.9433
5.13436,24.8621
5.15165,24.7812
5.16894,24.7006
5.18622,24.6203
5.20351,24.5403
5.2208,24.4606
5.23809,24.3811
5.25537,24.302
5.27266,24.2232
5.28995,24.1446
5.30724,24.0663
5.32452,23.9884
5.34181,23.9107
5.3591,23.8333
5.37638,23.7562
5.39367,23.6794
5.40491,23.6297
5.41096,23.6025
5.42825,23.5251
5.44553,23.448
5.46282,23.3712
5.48011,23.2946
5.4974,23.2184
5.51468,23.1425
5.53197,23.0668
5.54926,22.9915
5.56655,22.9164
5.58383,22.8417
5.60112,22.7672
5.61841,22.6931
5.6357,22.6192
5.65298,22.5456
5.67027,22.4723
5.68756,22.3993
5.70485,22.3265
5.72213,22.2541
5.73942,22.1819
5.75671,22.1101
5.774,22.0385
5.79128,21.9672
5.80857,21.8962
5.82586,21.8254
5.84314,21.755
5.86043,21.6848
5.87772,21.6149
5.89501,21.5453
5.91229,21.476
5.92958,21.4069
5.94687,21.3382
5.96416,21.2697
5.98144,21.2014
5.99873,21.1335
6.01602,21.0658
6.03331,20.9984
6.05059,20.9313
6.06788,20.8644
6.08517,20.7979
6.10246,20.7315
6.11974,20.6655
6.13703,20.5997
6.15432,20.5342
6.17161,20.469
6.18889,20.404
6.20618,20.3393
6.22347,20.2748
6.24076,20.2106
6.25804,20.1467
6.27533,20.083
6.29262,20.0196
6.30991,19.9565
6.32719,19.8936
6.34448,19.831
6.36177,19.7686
6.37905,19.7065
6.39634,19.6446
6.41363,19.583
6.43092,19.5216
6.4482,19.4605
6.46549,19.3996
6.48278,19.339
6.50007,19.2787
6.51735,19.2186
6.53464,19.1587
6.55193,19.0991
6.56922,19.0397
6.5865,18.9806
6.60379,18.9217
6.62108,18.8631
6.63837,18.8047
6.65565,18.7465
6.67294,18.6886
6.69023,18.6309
6.70752,18.5735
6.7248,18.5162
6.74209,18.4593
6.75938,18.4025
6.77667,18.346
6.79395,18.2898
6.81124,18.2337
6.82853,18.1779
6.84581,18.1223
6.8631,18.067
6.88039,18.0119
6.89768,17.957
6.91496,17.9023
6.93225,17.8479
6.94954,17.7937
6.96683,17.7397
6.98411,17.6859
7.0014,17.6324
7.01869,17.579
7.03598,17.5259
7.05326,17.4731
