l_dm,v_m_s
0,0
4.59751e-05,0.54568
0.0001905,1.12945
0.000437283,1.72743
0.000788282,2.3346
0.00124486,2.94856
0.00180805,3.56789
0.00247871,4.19166
0.00325753,4.81921
0.00414513,5.45001
0.00514203,6.08369
0.0062487,6.71993
0.00746556,7.35845
0.00879299,7.99904
0.0102313,8.64151
0.0117809,9.2857
0.0134419,9.93146
0.0152147,10.5787
0.0170996,11.2272
0.0190966,11.8769
0.021206,12.5278
0.0234281,13.1797
0.0257629,13.8325
0.0282107,14.4863
0.0307716,15.1408
0.0334457,15.7961
0.0362331,16.4521
0.039134,17.1087
0.0421484,17.7659
0.0452766,18.4236
0.0485184,19.0817
0.051874,19.7403
0.0553436,20.3993
0.0589271,21.0586
0.0626246,21.7181
0.0664361,22.378
0.0703617,23.038
0.0744015,23.6982
0.0785553,24.3586
0.0828234,25.019
0.0872056,25.6795
0.091702,26.3401
0.091702,26.3401
0.0963127,27.0006
0.101037,27.6611
0.105876,28.3216
0.11083,28.9819
0.115897,29.6422
0.121078,30.3022
0.126374,30.9622
0.131783,31.6218
0.137307,32.2813
0.142945,32.9405
0.148696,33.5994
0.154562,34.258
0.160541,34.9163
0.166634,35.5742
0.17284,36.2317
0.179161,36.8888
0.185595,37.5455
0.192142,38.2017
0.198803,38.8575
0.205577,39.5127
0.212464,40.1675
0.219465,40.8217
0.226578,41.4753
0.233805,42.1283
0.241144,42.7808
0.248596,43.4326
0.256161,44.0838
0.263838,44.7343
0.271627,45.3841
0.279529,46.0332
0.287543,46.6816
0.295669,47.3293
0.303907,47.9762
0.312257,48.6224
0.320718,49.2677
0.329291,49.9123
0.337975,50.556
0.346771,51.1989
0.355677,51.8409
0.364695,52.482
0.373823,53.1223
0.383062,53.7617
0.392411,54.4001
0.40187,55.0376
0.41144,55.6742
0.421119,56.3098
0.430909,56.9444
0.440808,57.578
0.450816,58.2107
0.460934,58.8423
0.471161,59.4728
0.481497,60.1024
0.491941,60.7308
0.502494,61.3582
0.513155,61.9845
0.523925,62.6097
0.534803,63.2339
0.545788,63.8568
0.556881,64.4787
0.568081,65.0994
0.579389,65.719
0.590803,66.3374
0.602325,66.9546
0.613953,67.5706
0.625687,68.1854
0.637528,68.7991
0.649474,69.4115
0.661527,70.0226
0.673684,70.6326
0.685948,71.2413
0.698316,71.8487
0.710789,72.4549
0.723367,73.0598
0.736049,73.6634
0.748836,74.2657
0.761726,74.8668
0.774721,75.4665
0.787819,76.0649
0.80102,76.662
0.814324,77.2577
0.827732,77.8521
0.841242,78.4452
0.854854,79.0369
0.868568,79.6273
0.882385,80.2163
0.896303,80.8039
0.910322,81.3901
0.924443,81.975
0.938665,82.5584
0.952988,83.1405
0.967411,83.7212
0.981934,84.3004
0.996557,84.8783
1.01128,85.4547
1.0261,86.0297
1.04102,86.6033
1.05605,87.1754
1.07117,87.7461
1.08638,88.3154
1.1017,88.8832
1.11712,89.4496
1.13263,90.0145
1.14824,90.5779
1.16394,91.1399
1.17975,91.7004
1.19565,92.2595
1.21165,92.8171
1.22774,93.3732
1.24393,93.9278
1.26022,94.4809
1.2766,95.0326
1.29307,95.5828
1.30964,96.1315
1.32631,96.6786
1.34307,97.2243
1.35993,97.7685
1.37687,98.3112
1.39392,98.8524
1.41105,99.3921
1.42828,99.9303
1.4456,100.467
1.46302,101.002
1.48052,101.536
1.49812,102.068
1.51581,102.599
1.5336,103.128
1.55147,103.655
1.56943,104.182
1.58749,104.706
1.60564,105.229
1.62387,105.751
1.6422,106.271
1.66062,106.79
1.67912,107.307
1.69772,107.822
1.7164,108.336
1.73517,108.849
1.75404,109.36
1.77298,109.869
1.79202,110.377
1.81115,110.883
1.83036,111.388
1.84966,111.892
1.86905,112.394
1.88852,112.894
1.90808,113.393
1.92772,113.89
1.94746,114.386
1.96727,114.88
1.98718,115.373
2.00716,115.865
2.02724,116.355
2.04739,116.843
2.06763,117.33
2.08796,117.815
2.10837,118.299
2.12886,118.781
2.14944,119.262
2.1701,119.742
2.19084,120.219
2.21166,120.696
2.23257,121.171
2.25356,121.644
2.27463,122.116
2.29578,122.587
2.31701,123.056
2.33832,123.523
2.35972,123.989
2.38119,124.454
2.40275,124.917
2.42438,125.379
2.4461,125.839
2.46789,126.298
2.48976,126.755
2.51172,127.211
2.53375,127.665
2.55586,128.118
2.57804,128.57
2.60031,129.02
2.62265,129.468
2.64507,129.915
2.66757,130.361
