t_ms,v_m_s
0,0
0.0172874,0.54568
0.0345748,1.12945
0.0518622,1.72743
0.0691496,2.3346
0.0864371,2.94856
0.103724,3.56789
0.121012,4.19166
0.138299,4.81921
0.155587,5.45001
0.172874,6.08369
0.190162,6.71993
0.207449,7.35845
0.224736,7.99904
0.242024,8.64151
0.259311,9.2857
0.276599,9.93146
0.293886,10.5787
0.311173,11.2272
0.328461,11.8769
0.345748,12.5278
0.363036,13.1797
0.380323,13.8325
0.39761,14.4863
0.414898,15.1408
0.432185,15.7961
0.449473,16.4521
0.46676,17.1087
0.484048,17.7659
0.501335,18.4236
0.518622,19.0817
0.53591,19.7403
0.553197,20.3993
0.570485,21.0586
0.587772,21.7181
0.605059,22.378
0.622347,23.038
0.639634,23.6982
0.656922,24.3586
0.674209,25.019
0.691496,25.6795
0.708784,26.3401
0.708784,26.3401
0.726071,27.0006
0.743359,27.6611
0.760646,28.3216
0.777934,28.9819
0.795221,29.6422
0.812508,30.3022
0.829796,30.9622
0.847083,31.6218
0.864371,32.2813
0.881658,32.9405
0.898945,33.5994
0.916233,34.258
0.93352,34.9163
0.950808,35.5742
0.968095,36.2317
0.985382,36.8888
1.00267,37.5455
1.01996,38.2017
1.03724,38.8575
1.05453,39.5127
1.07182,40.1675
1.08911,40.8217
1.10639,41.4753
1.12368,42.1283
1.14097,42.7808
1.15826,43.4326
1.17554,44.0838
1.19283,44.7343
1.21012,45.3841
1.22741,46.0332
1.24469,46.6816
1.26198,47.3293
1.27927,47.9762
1.29656,48.6224
1.31384,49.2677
1.33113,49.9123
1.34842,50.556
1.36571,51.1989
1.38299,51.8409
1.40028,52.482
1.41757,53.1223
1.43486,53.7617
1.45214,54.4001
1.46943,55.0376
1.48672,55.6742
1.504,56.3098
1.52129,56.9444
1.53858,57.578
1.55587,58.2107
1.57315,58.8423
1.59044,59.4728
1.60773,60.1024
1.62502,60.7308
1.6423,61.3582
1.65959,61.9845
1.67688,62.6097
1.69417,63.2339
1.71145,63.8568
1.72874,64.4787
1.74603,65.0994
1.76332,65.719
1.7806,66.3374
1.79789,66.9546
1.81518,67.5706
1.83247,68.1854
1.84975,68.7991
1.86704,69.4115
1.88433,70.0226
1.90162,70.6326
1.9189,71.2413
1.93619,71.8487
1.95348,72.4549
1.97076,73.0598
1.98805,73.6634
2.00534,74.2657
2.02263,74.8668
2.03991,75.4665
2.0572,76.0649
2.07449,76.662
2.09178,77.2577
2.10906,77.8521
2.12635,78.4452
2.14364,79.0369
2.16093,79.6273
2.17821,80.2163
2.1955,80.8039
2.21279,81.3901
2.23008,81.975
2.24736,82.5584
2.26465,83.1405
2.28194,83.7212
2.29923,84.3004
2.31651,84.8783
2.3338,85.4547
2.35109,86.0297
2.36838,86.6033
2.38566,87.1754
2.40295,87.7461
2.42024,88.3154
2.43752,88.8832
2.45481,89.4496
2.4721,90.0145
2.48939,90.5779
2.50667,91.1399
2.52396,91.7004
2.54125,92.2595
2.55854,92.8171
2.57582,93.3732
2.59311,93.9278
2.6104,94.4809
2.62769,95.0326
2.64497,95.5828
2.66226,96.1315
2.67955,96.6786
2.69684,97.2243
2.71412,97.7685
2.73141,98.3112
2.7487,98.8524
2.76599,99.3921
2.78327,99.9303
2.80056,100.467
2.81785,101.002
2.83514,101.536
2.85242,102.068
2.86971,102.599
2.887,103.128
2.90429,103.655
2.92157,104.182
2.93886,104.706
2.95615,105.229
2.97343,105.751
2.99072,106.271
3.00801,106.79
3.0253,107.307
3.04258,107.822
3.05987,108.336
3.07716,108.849
3.09445,109.36
3.11173,109.869
3.12902,110.377
3.14631,110.883
3.1636,111.388
3.18088,111.892
3.19817,112.394
3.21546,112.894
3.23275,113.393
3.25003,113.89
3.26732,114.386
3.28461,114.88
3.3019,115.373
3.31918,115.865
3.33647,116.355
3.35376,116.843
3.37105,117.33
3.38833,117.815
3.40562,118.299
3.42291,118.781
3.44019,119.262
3.45748,119.742
3.47477,120.219
3.49206,120.696
3.50934,121.171
3.52663,121.644
3.54392,122.116
3.56121,122.587
3.57849,123.056
3.59578,123.523
3.61307,123.989
3.63036,124.454
3.64764,124.917
3.66493,125.379
3.68222,125.839
3.69951,126.298
3.71679,126.755
3.73408,127.211
3.75137,127.665
3.76866,128.118
3.78594,128.57
3.80323,129.02
3.82052,129.468
3.83781,129.915
3.85509,130.361
3.87238,130.805
3.88967,131.248
3.90695,131.69
3.92424,132.13
3.94153,132.569
3.95882,133.006
3.9761,133.442
3.99339,133.876
4.01068,134.309
4.02797,134.741
4.04525,135.171
4.06254,135.6
4.07983,136.027
4.09712,136.453
4.1144,136.878
4.13169,137.301
4.14898,137.723
4.16627,138.144
4.18355,138.563
4.20084,138.981
4.21813,139.397
4.23542,139.812
4.2527,140.226
4.26999,140.638
4.28728,141.05
4.30457,141.459
4.32185,141.868
4.33914,142.275
4.35643,142.68
4.37372,143.085
4.391,143.488
4.40829,143.89
4.42558,144.29
4.44286,144.689
4.46015,145.087
4.47744,145.484
4.49473,145.879
4.51201,146.273
4.5293,146.666
4.54659,147.057
4.56388,147.447
4.58116,147.836
4.59845,148.223
4.61574,148.61
4.63303,148.995
4.65031,149.378
4.6676,149.761
4.68489,150.142
4.70218,150.522
4.71946,150.901
4.73675,151.278
4.75404,151.655
4.77133,152.03
4.78861,152.404
4.8059,152.776
4.82319,153.148
4.84048,153.518
4.85776,153.887
4.87505,154.254
4.89234,154.621
4.90962,154.986
4.92691,155.35
4.9442,155.713
4.96149,156.075
4.97877,156.436
4.99606,156.795
5.01335,157.153
5.03064,157.511
5.04792,157.866
5.06521,158.221
5.0825,158.575
5.09979,158.927
5.11707,159.279
5.13436,159.629
5.15165,159.978
5.16894,160.326
5.18622,160.672
5.20351,161.018
5.2208,161.362
5.23809,161.706
5.25537,162.048
5.27266,162.389
5.28995,162.729
5.30724,163.068
5.32452,163.406
5.34181,163.743
5.3591,164.079
5.37638,164.413
5.39367,164.747
5.40491,164.963
5.41096,165.079
5.42825,165.41
5.44553,165.741
5.46282,166.07
5.48011,166.398
5.4974,166.725
5.51468,167.051
5.53197,167.376
5.54926,167.699
5.56655,168.022
5.58383,168.344
5.60112,168.665
5.61841,168.984
5.6357,169.303
5.65298,169.62
5.67027,169.937
5.68756,170.252
5.70485,170.567
5.72213,170.88
5.73942,171.192
5.75671,171.504
5.774,171.814
5.79128,172.124
5.80857,172.432
5.82586,172.739
5.84314,173.046
5.86043,173.351
5.87772,173.656
5.89501,173.959
5.91229,174.261
5.92958,174.563
5.94687,174.863
5.96416,175.163
5.98144,175.462
5.99873,175.759
6.01602,176.056
6.03331,176.352
6.05059,176.646
6.06788,176.94
6.08517,177.233
6.10246,177.525
6.11974,177.816
6.13703,178.106
6.15432,178.395
6.17161,178.684
6.18889,178.971
6.20618,179.258
6.22347,179.543
6.24076,179.828
6.25804,180.111
6.27533,180.394
6.29262,180.676
6.30991,180.957
6.32719,181.237
6.34448,181.517
6.36177,181.795
