l_dm,t_ms,v_m_s,p_MPa,pd_MPa,pt_MPa,psi,Z,label
0.0000,0.0000,0.00,30.00,30.00,30.00,0.021120,0.028066,起始点
0.0000,0.0173,0.55,40.77,80.58,0.95,0.023542,0.031272,
0.0002,0.0346,1.13,42.11,83.28,0.95,0.026105,0.034663,
0.0004,0.0519,1.73,42.89,84.84,0.94,0.028723,0.038123,
0.0008,0.0691,2.33,43.44,85.95,0.94,0.031376,0.041626,
0.0012,0.0864,2.95,43.87,86.80,0.94,0.034055,0.045162,
0.0018,0.1037,3.57,44.21,87.50,0.93,0.036757,0.048724,
0.0025,0.1210,4.19,44.50,88.08,0.93,0.039477,0.052307,
0.0033,0.1383,4.82,44.75,88.58,0.92,0.042213,0.055908,
0.0041,0.1556,5.45,44.97,89.02,0.92,0.044963,0.059525,
0.0051,0.1729,6.08,45.16,89.41,0.91,0.047725,0.063155,
0.0062,0.1902,6.72,45.33,89.76,0.91,0.050500,0.066798,
0.0075,0.2074,7.36,45.49,90.07,0.90,0.053285,0.070451,
0.0088,0.2247,8.00,45.63,90.36,0.89,0.056080,0.074114,
0.0102,0.2420,8.64,45.76,90.62,0.89,0.058884,0.077786,
0.0118,0.2593,9.29,45.87,90.86,0.88,0.061697,0.081466,
0.0134,0.2766,9.93,45.98,91.09,0.87,0.064518,0.085153,
0.0152,0.2939,10.58,46.08,91.29,0.86,0.067346,0.088848,
0.0171,0.3112,11.23,46.17,91.48,0.85,0.070182,0.092549,
0.0191,0.3285,11.88,46.25,91.66,0.84,0.073025,0.096255,
0.0212,0.3457,12.53,46.33,91.82,0.83,0.075874,0.099967,
0.0234,0.3630,13.18,46.40,91.98,0.82,0.078730,0.103683,
0.0258,0.3803,13.83,46.46,92.12,0.81,0.081592,0.107405,
0.0282,0.3976,14.49,46.52,92.25,0.79,0.084459,0.111130,
0.0308,0.4149,15.14,46.58,92.38,0.78,0.087332,0.114859,
0.0334,0.4322,15.80,46.63,92.49,0.77,0.090210,0.118592,
0.0362,0.4495,16.45,46.68,92.60,0.75,0.093093,0.122328,
0.0391,0.4668,17.11,46.72,92.70,0.74,0.095980,0.126067,
0.0421,0.4840,17.77,46.76,92.79,0.72,0.098873,0.129808,
0.0453,0.5013,18.42,46.79,92.88,0.71,0.101769,0.133552,
0.0485,0.5186,19.08,46.82,92.96,0.69,0.104670,0.137299,
0.0519,0.5359,19.74,46.85,93.03,0.67,0.107576,0.141047,
0.0553,0.5532,20.40,46.88,93.10,0.65,0.110485,0.144797,
0.0589,0.5705,21.06,46.90,93.16,0.64,0.113397,0.148548,
0.0626,0.5878,21.72,46.92,93.22,0.62,0.116314,0.152301,
0.0664,0.6051,22.38,46.93,93.27,0.60,0.119233,0.156055,
0.0704,0.6223,23.04,46.95,93.32,0.58,0.122156,0.159811,
0.0744,0.6396,23.70,46.96,93.36,0.56,0.125083,0.163567,
0.0786,0.6569,24.36,46.97,93.40,0.54,0.128012,0.167323,
0.0828,0.6742,25.02,46.97,93.43,0.51,0.130944,0.171080,
0.0872,0.6915,25.68,46.98,93.46,0.49,0.133879,0.174837,
0.0917,0.7088,26.34,46.98,93.49,0.47,0.136817,0.178595,
0.0917,0.7088,26.34,46.98,93.49,0.47,0.136817,0.178595,最大压力点
0.0963,0.7261,27.00,46.98,93.51,0.44,0.139757,0.182353,
0.1010,0.7434,27.66,46.97,93.53,0.42,0.142700,0.186110,
0.1059,0.7606,28.32,46.97,93.54,0.40,0.145645,0.189867,
0.1108,0.7779,28.98,46.96,93.55,0.37,0.148592,0.193624,
0.1159,0.7952,29.64,46.95,93.56,0.35,0.151541,0.197380,
0.1211,0.8125,30.30,46.94,93.56,0.32,0.154492,0.201135,
0.1264,0.8298,30.96,46.93,93.56,0.29,0.157445,0.204889,
0.1318,0.8471,31.62,46.91,93.55,0.26,0.160400,0.208643,
0.1373,0.8644,32.28,46.89,93.55,0.24,0.163357,0.212395,
0.1429,0.8817,32.94,46.87,93.54,0.21,0.166315,0.216147,
0.1487,0.8989,33.60,46.85,93.52,0.18,0.169274,0.219896,
0.1546,0.9162,34.26,46.83,93.51,0.15,0.172235,0.223645,
0.1605,0.9335,34.92,46.80,93.49,0.12,0.175197,0.227391,
0.1666,0.9508,35.57,46.78,93.46,0.09,0.178161,0.231137,
0.1728,0.9681,36.23,46.75,93.44,0.06,0.181125,0.234880,
0.1792,0.9854,36.89,46.72,93.41,0.03,0.184090,0.238621,
0.1856,1.0027,37.55,46.69,93.38,-0.00,0.187057,0.242360,
0.1921,1.0200,38.20,46.65,93.34,-0.04,0.190024,0.246097,
0.1988,1.0372,38.86,46.62,93.31,-0.07,0.192992,0.249832,
0.2056,1.0545,39.51,46.58,93.27,-0.10,0.195960,0.253565,
0.2125,1.0718,40.17,46.55,93.23,-0.14,0.198929,0.257295,
0.2195,1.0891,40.82,46.51,93.18,-0.17,0.201899,0.261022,
0.2266,1.1064,41.48,46.47,93.14,-0.21,0.204869,0.264747,
0.2338,1.1237,42.13,46.42,93.09,-0.24,0.207839,0.268469,
0.2411,1.1410,42.78,46.38,93.04,-0.28,0.210809,0.272188,
0.2486,1.1583,43.43,46.33,92.98,-0.31,0.213780,0.275905,
0.2562,1.1755,44.08,46.29,92.93,-0.35,0.216750,0.279618,
0.2638,1.1928,44.73,46.24,92.87,-0.39,0.219721,0.283328,
0.2716,1.2101,45.38,46.19,92.81,-0.42,0.222691,0.287035,
0.2795,1.2274,46.03,46.14,92.74,-0.46,0.225661,0.290738,
0.2875,1.2447,46.68,46.09,92.68,-0.50,0.228631,0.294438,
0.2957,1.2620,47.33,46.04,92.61,-0.54,0.231601,0.298135,
0.3039,1.2793,47.98,45.98,92.54,-0.58,0.234570,0.301828,
0.3123,1.2966,48.62,45.93,92.47,-0.62,0.237539,0.305517,
0.3207,1.3138,49.27,45.87,92.39,-0.66,0.240507,0.309203,
0.3293,1.3311,49.91,45.81,92.32,-0.70,0.243474,0.312885,
0.3380,1.3484,50.56,45.75,92.24,-0.74,0.246441,0.316563,
0.3468,1.3657,51.20,45.69,92.16,-0.78,0.249407,0.320237,
0.3557,1.3830,51.84,45.63,92.08,-0.82,0.252372,0.323907,
0.3647,1.4003,52.48,45.57,92.00,-0.86,0.255337,0.327572,
0.3738,1.4176,53.12,45.50,91.91,-0.90,0.258300,0.331234,
0.3831,1.4349,53.76,45.44,91.82,-0.95,0.261262,0.334891,
0.3924,1.4521,54.40,45.37,91.73,-0.99,0.264223,0.338544,
0.4019,1.4694,55.04,45.31,91.64,-1.03,0.267183,0.342192,
0.4114,1.4867,55.67,45.24,91.55,-1.07,0.270141,0.345836,
0.4211,1.5040,56.31,45.17,91.46,-1.12,0.273099,0.349476,
0.4309,1.5213,56.94,45.10,91.36,-1.16,0.276055,0.353110,
0.4408,1.5386,57.58,45.03,91.26,-1.21,0.279009,0.356740,
0.4508,1.5559,58.21,44.96,91.16,-1.25,0.281962,0.360366,
0.4609,1.5732,58.84,44.88,91.06,-1.29,0.284913,0.363986,
0.4712,1.5904,59.47,44.81,90.96,-1.34,0.287863,0.367601,
0.4815,1.6077,60.10,44.73,90.85,-1.38,0.290811,0.371212,
0.4919,1.6250,60.73,44.66,90.75,-1.43,0.293757,0.374817,
0.5025,1.6423,61.36,44.58,90.64,-1.48,0.296701,0.378418,
0.5132,1.6596,61.98,44.50,90.53,-1.52,0.299644,0.382013,
0.5239,1.6769,62.61,44.43,90.42,-1.57,0.302584,0.385603,
0.5348,1.6942,63.23,44.35,90.31,-1.62,0.305522,0.389187,
0.5458,1.7115,63.86,44.27,90.19,-1.66,0.308459,0.392767,
0.5569,1.7287,64.48,44.19,90.08,-1.71,0.311393,0.396340,
0.5681,1.7460,65.10,44.10,89.96,-1.76,0.314325,0.399909,
0.5794,1.7633,65.72,44.02,89.85,-1.80,0.317255,0.403472,
0.5908,1.7806,66.34,43.94,89.73,-1.85,0.320182,0.407029,
0.6023,1.7979,66.95,43.85,89.61,-1.90,0.323108,0.410581,
0.6140,1.8152,67.57,43.77,89.49,-1.95,0.326030,0.414127,
0.6257,1.8325,68.19,43.68,89.36,-2.00,0.328951,0.417667,
0.6375,1.8498,68.80,43.60,89.24,-2.04,0.331869,0.421202,
0.6495,1.8670,69.41,43.51,89.11,-2.09,0.334784,0.424731,
0.6615,1.8843,70.02,43.42,88.99,-2.14,0.337696,0.428254,
0.6737,1.9016,70.63,43.33,88.86,-2.19,0.340606,0.431771,
0.6859,1.9189,71.24,43.25,88.73,-2.24,0.343514,0.435282,
0.6983,1.9362,71.85,43.16,88.60,-2.29,0.346418,0.438787,
0.7108,1.9535,72.45,43.07,88.47,-2.34,0.349320,0.442286,
0.7234,1.9708,73.06,42.97,88.34,-2.39,0.352219,0.445779,
0.7360,1.9881,73.66,42.88,88.20,-2.44,0.355114,0.449265,
0.7488,2.0053,74.27,42.79,88.07,-2.49,0.358007,0.452746,
0.7617,2.0226,74.87,42.70,87.93,-2.54,0.360897,0.456220,
0.7747,2.0399,75.47,42.61,87.80,-2.59,0.363784,0.459688,
0.7878,2.0572,76.06,42.51,87.66,-2.64,0.366668,0.463150,
0.8010,2.0745,76.66,42.42,87.52,-2.69,0.369549,0.466605,
0.8143,2.0918,77.26,42.32,87.38,-2.74,0.372426,0.470054,
0.8277,2.1091,77.85,42.23,87.24,-2.79,0.375300,0.473496,
0.8412,2.1264,78.45,42.13,87.10,-2.84,0.378171,0.476933,
0.8549,2.1436,79.04,42.03,86.96,-2.89,0.381039,0.480362,
0.8686,2.1609,79.63,41.94,86.81,-2.94,0.383903,0.483785,
0.8824,2.1782,80.22,41.84,86.67,-2.99,0.386764,0.487202,
0.8963,2.1955,80.80,41.74,86.52,-3.04,0.389621,0.490611,
0.9103,2.2128,81.39,41.64,86.38,-3.09,0.392475,0.494015,
0.9244,2.2301,81.97,41.55,86.23,-3.14,0.395326,0.497411,
0.9387,2.2474,82.56,41.45,86.08,-3.19,0.398173,0.500801,
0.9530,2.2647,83.14,41.35,85.94,-3.24,0.401016,0.504184,
0.9674,2.2819,83.72,41.25,85.79,-3.29,0.403856,0.507560,
0.9819,2.2992,84.30,41.15,85.64,-3.34,0.406692,0.510930,
0.9966,2.3165,84.88,41.05,85.49,-3.39,0.409524,0.514292,
1.0113,2.3338,85.45,40.94,85.34,-3.45,0.412352,0.517648,
1.0261,2.3511,86.03,40.84,85.18,-3.50,0.415177,0.520997,
1.0410,2.3684,86.60,40.74,85.03,-3.55,0.417998,0.524339,
